id,statement,label,speaker,party_affiliation,subject,context,pants_on_fire_counts,false_counts,barely_true_counts,half_true_counts,mostly_true_counts,label_id
5906.json,"The expiration of the Bush-era tax cuts ... would be the biggest tax increase in the history of the country, about $4.6 trillion over 10 years.",barely-true,charles-bass,republican,taxes,an interview with the editorial board of the 'Telegraph.',0,2,3,0,0,2
12910.json,"Says there were multiple instances of voter fraud in Wood County, Ohio.",pants-fire,viral-image,none,elections,viral image circulating on the internet,15,5,5,0,3,0
4604.json,"The IRS is already planning on 19,500 new employees to administer Obamas health care mandate.",pants-fire,jon-huntsman,republican,"health-care,new-hampshire-2012","a Republican presidential debate in Hanover, N.H.",1,1,5,5,4,0
11526.json,Most Americans are ready to put it [marijuana prohibition] behind us and move on.,true,mason-tvert,none,"drugs,marijuana",a news release,0,0,0,0,0,5
13196.json,"Gov. Pence said, inarguably, Vladimir Putin is a better leader than President Obama.",mostly-true,tim-kaine,democrat,foreign-policy,"the vice presidential debate in Farmville, Va.",0,3,8,15,15,4
2734.json,"Sen. Harry Reid voted against declaring English our national language, twice.",true,sharron-angle,republican,"immigration,message-machine",a TV ad,0,1,3,1,0,5
7675.json,Congress has spent 66 of the first 100 days of this term in recess.,mostly-true,john-barrow,democrat,congress,a letter,0,0,0,1,1,4
190.json,"Edwards says if Congress won't pass universal health care, he'll tell Congress: ""I'm going to use my power as president to take your health care away from you.""",pants-fire,john-edwards,democrat,health-care,a TV ad,1,2,0,4,4,0
2645.json,"There currently are 825,000 student stations sitting empty across Florida in every district and at every grade level.",mostly-true,yes-8,none,"children,education,florida-amendments",a website,0,0,0,0,1,4
11064.json,Limberbutt McCubbins (a five-year-old cat) is a candidate in the 2016 presidential election.,half-true,limberbutt-mccubbins,democrat,"animals,corrections-and-updates,elections",comments on his website.,0,0,0,1,0,3
6251.json,Says she stood up to Gov. Scott Walker on tax cuts for wealthy corporations while her congressional opponent voted with Walker.,half-true,kelda-helen-roys,democrat,"economy,jobs,state-budget,taxes",news conference remarks,0,1,0,1,0,3
9640.json,"Under Gov. Tom Corbett, Pennsylvania ranks 49th in job creation.",mostly-true,fresh-start-pa,democrat,"economy,jobs,states",a campaign ad,0,0,0,0,1,4
5776.json,"Says Cape May, Cumberland, Salem and part of Atlantic counties are all south of the Mason-Dixon line.",false,raymond-bateman,republican,history,an opinion piece on DailyRecord.com,0,1,0,0,0,1
12786.json,"We moved 100 times as many people out of poverty as moved out when President (Ronald) Reagan was in office, with 40 percentmore jobs.",half-true,bill-clinton,democrat,"jobs,poverty",a video at the DNC,3,2,4,12,11,3
5931.json,"Says that President Obama promised that with the stimulus plan, unemployment would never go above 8 percent. He even said it would be 6 percent by now.",barely-true,bob-latta,republican,"economy,jobs",an email statement,0,0,1,0,0,2
1671.json,"""Every citizen is entitled to the freedom of speech, but no one should have the right to use government funds or institutions to portray acts that are morally reprehensible to the vast majority of Americans.""",barely-true,david-dewhurst,republican,gays-and-lesbians,a press release,5,8,8,10,5,2
658.json,"""Barack Obama and Joe Biden oppose new drilling at home and oppose nuclear power.""",barely-true,republican-national-committee-republican,republican,energy,a statement on the RNC Web site,2,6,6,11,5,2
2159.json,Jeff Greene can buy anything ... he owns two mansions.,true,kendrick-meek,democrat,"candidates-biography,elections,message-machine",a TV ad.,1,6,2,1,4,5
8102.json,Our recent state budgets have far exceeded population and inflation growth.,barely-true,tom-pauken,republican,"population,state-budget,state-finances",an oped column.,0,0,1,0,0,2
6074.json,Marcy Kaptur voted against a ban which would have prevented the aborting of a baby girl for the sole reason that shes a girl.,mostly-true,samuel-wurzelbacher,republican,"abortion,message-machine-2012,voting-record",a campaign video,1,1,0,0,1,4
813.json,"""Obama raises taxes on seniors (and) hard-working families to give welfare to those who pay none.""",false,john-mccain,republican,taxes,a Web ad,8,39,31,31,37,1
12995.json,Illegal immigration costs our country more than $113 billion a year.,barely-true,donald-trump,republican,immigration,a speech in Arizona,61,114,63,51,37,2
12379.json,"Says 80 percent of North Carolinians support the concept that men should not be in womens restrooms, changing rooms, bathrooms, etc.",half-true,tim-moore,republican,"civil-rights,gays-and-lesbians,polls,sexuality",a conversation with reporters,0,0,0,1,0,3
2571.json,"In ad attacking Rick Scott, says three executives of the Columbia/HCAhospital chain he ran were indicted.",half-true,florida-democratic-party,democrat,"health-care,legal-issues,message-machine",a TV ad.,3,4,5,4,5,3
818.json,The accuracy of the Obama tax calculator,half-true,barack-obama,democrat,taxes,campaign Web site,9,71,70,160,163,3
12033.json,Banks paid Hillary Clinton over $1 million and are contributing millions more to elect her.,half-true,future45,republican,"campaign-finance,financial-regulation",a television ad,0,0,0,1,0,3
2175.json,House Democrats have a two-to-one advantage money-wise against House Republicans.,mostly-true,nancy-pelosi,democrat,"campaign-finance,elections,abc-news-week","an interview on ABC's ""This Week""",3,7,3,11,2,4
10234.json,Says Jonathan Gruber was some adviser who never worked on our staff.,barely-true,barack-obama,democrat,health-care,"Brisbane, Australia, for the G20 summit",9,71,70,160,163,2
9448.json,There have been 74 school shootings in America since Sandy Hook.,barely-true,everytown-gun-safety,none,"children,education,guns",an infographic that went viral,0,0,3,1,0,2
7781.json,"We had people that were getting killed (in Benghazi), we had people who are willing to risk their lives to go save them, and somebody told them to stand down.",false,jason-chaffetz,republican,"military,terrorism",an interview on Fox News,1,1,0,0,0,1
8867.json,I always supported civil unions.,barely-true,charlie-crist,democrat,gays-and-lesbians,a press conference,2,9,15,20,19,2
6830.json,"Right now, the (Congressional Budget Office) says up to 20 million people will lose their insurance as Obamacare goes into effect next year.",false,mitt-romney,republican,"debates,health-care",the first presidential debate in Denver,19,32,34,58,33,1
11493.json,"No city in the state, no state in this nation, for that matter the entire world, has adopted (clean energy) targets more ambitious in scale.",mostly-true,kevin-de-leon,democrat,"climate-change,energy",a speech,0,0,0,0,3,4
12557.json,"If Question 1 were to pass here in Nevada, we would have more restrictive gun laws here in Nevada dealing with the transfer of firearms than they do in California.",half-true,robert-uithoven,republican,guns,on an episode of Nevada NewsMakers,0,0,0,1,0,3
6906.json,On Iran sanctions,false,tammy-baldwin,democrat,"foreign-policy,military",debate comments,0,5,5,7,4,1
8630.json,"Even after collective bargaining reforms, most Wisconsin public employees are still paying about 12 to 13 percent of their health insurance premiums, while most state residents who work in the private sector pay 20 to 25 percent.",mostly-true,scott-walker,republican,"health-care,state-budget,state-finances,unions",an interview,11,41,26,32,40,4
10625.json,The stock market has almost tripled since April of 2009.,mostly-true,jim-webb,democrat,"economy,financial-regulation","an interview on ABC's ""This Week""",0,0,1,1,5,4
5799.json,Says George Norcross said the TAKEOVER OF RUTGER$ CAMDEN WILL COST NEW JER$EY BILLION$.,false,r2rmerge,none,"education,state-finances",a flier,0,1,0,0,0,1
9127.json,The NCAA will get billions from the mens basketball tournament. Players get a trophy.,half-true,arian-foster,none,"education,sports",a tweet,0,0,0,1,0,3
7013.json,Says U.S. Rep. Charles Bass wants to privatize Social Security.,barely-true,ann-mclane-kuster,democrat,social-security,"an ad, “Janice,” released September 6, 2012",0,1,2,3,0,2
5946.json,The recent process of awarding $3 billion worth of airport vending contracts was the most open and transparent procurement process in the citys history.,half-true,kasim-reed,democrat,"transparency,transportation",a press release,1,0,1,5,7,3
5770.json,Says Ted Cruz represents a Chinese company found guilty of stealing blueprints from an American manufacturer.,mostly-true,david-dewhurst,republican,"candidates-biography,legal-issues,message-machine-2012",a TV ad.,5,8,8,10,5,4
1778.json,"Says the EPA ""outsourced the scientific basis for its greenhouse gas regulation to a scandal-plagued international organization that cannot be considered objective or trustworthy.""",barely-true,greg-abbott,republican,"energy,environment,legal-issues",a press release,5,3,11,8,6,2
537.json,"""More than half of all black children live in single-parent households, a number that has doubled doubled since we were children.""",true,barack-obama,democrat,families,a speech at a Chicago church,9,71,70,160,163,5
1318.json,"In the health care bill, were now offering insurance for dogs.",pants-fire,glenn-beck,none,"health-care,pundits",his radio program,6,7,5,7,2,0
3752.json,"Says the Texas Board of Nursing has a backlog of 3,000 complaints against nurses, many of them sexual assaults, malfeasance.",mostly-true,john-whitmire,democrat,"crime,health-care,market-regulation",remarks on the Senate floor,0,0,0,0,1,4
11898.json,Americans havent had a raise in 15 years.,mostly-true,hillary-clinton,democrat,"economy,jobs",a Democratic presidential debate in Milwaukee,7,29,40,69,76,4
10642.json,"More than 7,000 Americans lost their lives to climate change-fueled events last year.",false,don-beyer,democrat,"climate-change,environment",an op-ed.,0,2,1,1,3,1
9061.json,Says President Abraham Lincoln enforced the Fugitive Slave Act until the Civil War ended.,barely-true,andrew-napolitano,republican,history,"a broadcast of ""The Daily Show""",3,0,3,2,0,2
12401.json,Nevada Democratic Party leaders hijacked the process on the floor of the state convention ignoring the regular procedure and ramming through what they wanted to do.,false,jeff-weaver,democrat,elections,a television interview on CNN,0,1,0,0,0,1
7468.json,Says Studies show the average age of entry into prostitution is 12 to 14 years old.,half-true,diane-mckeel,county-commissioner,"children,county-government,families",in a guest column,0,0,0,1,0,3
7908.json,"Worldwide credit card transactions, the credit card fraud rate is 0.04 percent, compared to almost 8 percent, 9 percent, 10 percent of Medicare fraud.",mostly-true,peter-roskam,republican,"crime,government-efficiency,medicare",an interview with Fox News,0,0,0,0,1,4
10976.json,The Confederate battle flag in South Carolina was first flown at the statehouse in 1961.It was flown as a symbol of massive resistance to racial desegregation.,mostly-true,eugene-robinson,none,"diversity,history,states","comments on NBC's ""Meet the Press""",0,0,0,0,2,4
2426.json,The new health care law will cut $500 billion from Medicare. That will hurt the quality of our care.,barely-true,60-plus-association,none,"health-care,medicare,message-machine",a campaign ad,1,0,2,0,0,2
7828.json,Says the inspector general for the IRS said there was no political motivation and no outside influence for targeting of tax-exempt applications from tea party groups,mostly-true,sander-levin,democrat,taxes,an interview on MSNBC,0,0,0,0,1,4
11134.json,Obama Makes Huge Move to BAN Social Security Recipients From Owning Guns,false,blog-posting,none,"disability,guns,retirement,social-security",various conservative websites,44,19,7,3,5,1
1984.json,"""In Florida alone, more than $3.5 billion a year is spent on health care and criminal justice for illegal immigrants.""",false,ritch-workman,republican,immigration,a 'Florida Today' opinion page article published,0,1,1,0,0,1
238.json,"When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).",pants-fire,chain-email,none,"obama-birth-certificate,religion",,105,43,11,8,5,0
6213.json,"Says state Sen. Paul Sarlo said in February on NJTV, there will be no tax increases in this budget and voted the other night in the Senate Budget Committee to raise income taxes $800 million.",mostly-true,chris-christie,republican,"state-budget,taxes",a video posted on YouTube,8,17,10,27,19,4
1988.json,"The U.S. deficit ""increases at $3 million per second.""",false,bill-clegg,republican,"economy,federal-budget,government-efficiency,health-care",candidate web page,0,1,0,0,0,1
12202.json,Attorney General Roy Cooper refuses to do his job by not defending House Bill 2 in a lawsuit.,half-true,phil-berger,republican,"ethics,gays-and-lesbians,campaign-advertising,states",a Facebook post,0,0,0,1,0,3
9686.json,Says John Cornyn dodged the draft during the Vietnam War.,pants-fire,david-alameel,democrat,"candidates-biography,history,military,public-service",his speech at the Texas Democratic Party convention,1,1,0,1,0,0
9416.json,"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.",false,jim-rubens,republican,guns,"in an interview at gun shop in Hudson, N.H.",0,1,1,0,1,1
11807.json,I am the only candidate on either side who has laid out a specific plan about what I would do to defeat ISIS.,false,hillary-clinton,democrat,"foreign-policy,terrorism","a speech in Burlington, Iowa",7,29,40,69,76,1
1286.json,"""Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do.""",false,john-boehner,republican,health-care,a statement on his Web site,2,22,13,11,4,1
4147.json,Says the state budget doubled property tax credits for seniors and middle class New Jerseyans and had no tax increases for any New Jersey family for the second year in a row.,half-true,chris-christie,republican,"state-budget,state-finances,taxes",a radio ad,8,17,10,27,19,3
8895.json,Americans work way more than an average of industrialized countries around the world.,mostly-true,keith-ellison,democrat,jobs,"comments on ABC's ""This Week""",0,0,0,0,1,4
3773.json,The health care price tag for childhood obesity in Georgia is $2.4 billion annually and rising.,false,nathan-deal,republican,public-health,a speech,0,5,9,11,11,1
8638.json,"For the cost of $5 vanilla soy latte a day, you can get a sweet health insurance plan to match.",half-true,cover-oregon,organization,health-care,an Internet ad campaign,0,0,0,1,0,3
6583.json,Says Sherrod Brown voted for the $1.17 trillion health care law that adds a new tax on Ohio manufacturers.,half-true,crossroads-gps,republican,"health-care,taxes",a campaign commercial,2,1,9,4,1,3
401.json,"John McCain and George Bush have ""absolutely no plan for universal health care.""",true,campaign-defend-america,none,health-care,a television ad,0,1,0,0,2,5
7037.json,Says Bill Young voted twice for the Ryan budget that ends the current Medicare system.,half-true,jessica-ehrlich,democrat,medicare,a TV commercial,0,0,0,1,0,3
7264.json,I am now the No. 2 member of this House in terms of length of service.,true,bill-batchelder,republican,"job-accomplishments,public-service",a speech on the House floor,3,1,0,1,1,5
7626.json,"The people who were running the budget, in the Corzine years, decided to steal from the unemployment trust fund. As did other Governors before. We simply dont do that, havent done it, and wont permit it.",barely-true,chris-christie,republican,"state-finances,taxes","an answer to a caller on NJ 101.5's ""Ask The Governor"" program",8,17,10,27,19,2
11414.json,60 percent of all Americans do not want to see Planned Parenthood defunded.,true,gwen-moore,democrat,"abortion,federal-budget,health-care,polls,public-health,women",a speech,1,4,3,4,3,5
12225.json,The state that has the highest per capita number of guns that end up committing crimes in New York come from Vermont.,half-true,hillary-clinton,democrat,"crime,guns","an event in Port Washington, N.Y.",7,29,40,69,76,3
3313.json,Says the Hawaii governor cant find anything that says (President Barack Obama) was born in Hawaii.,false,leo-berman,republican,"elections,obama-birth-certificate",a news article,1,2,0,0,0,1
4596.json,Every worker pays 15.3 percent payroll tax.,barely-true,herman-cain,republican,"new-hampshire-2012,taxes,workers",an interview on MSNBC,3,11,4,5,3,2
2001.json,Says Republican lieutenants to House Speaker Joe Straus aired radio ads supporting Democrat(ic state Rep.) Mark Homer... helping the Democrat to a narrow win.,mostly-true,david-barton,republican,"bipartisanship,campaign-finance",an open letter,0,0,1,1,2,4
5881.json,Says no Austin City Council member lives south of Lady Bird Lake or north of 45th Street.,mostly-true,shaun-ireland,none,city-government,a campaign video on the city's website,0,0,0,0,1,4
3156.json,Georgia is the second-fastest growing state for international tourists.,true,chris-cummiskey,none,tourism,a budget presentation,0,0,0,0,0,5
5238.json,"Right now, American oil production is the highest that its been in eight years.",mostly-true,barack-obama,democrat,energy,the State of the Union address,9,71,70,160,163,4
709.json,"""Obama's Ten Point Plan to 'Change' the Second AmendmentBan use of firearms for home defense.""",pants-fire,national-rifle-association,none,guns,direct mail piece,3,5,3,1,5,0
5654.json,Obama tells Russia that hell turn over Americas defense system to them if re-elected.,pants-fire,eric-johnson,republican,"foreign-policy,military",a Twitter post,1,1,0,1,0,0
13499.json,"President Obamas American Recovery and Reinvestment Act (was) a fancy name for almost a trillion-dollar spending bill. The ARRA was supposed to fix our crumbling roads and bridges, but now, we have absolutely nothing to show for it.",barely-true,eric-bolling,none,"federal-budget,infrastructure,stimulus",a commentary on Fox News,0,1,2,1,1,2
9921.json,Says Scott Walkers jobs agency gives financial incentives that lead Wisconsin companies to look at shipping jobs elsewhere. ... A company got $4.6 million in taxpayer money and actually reduced its jobs by 300 people.,barely-true,mary-burke,democrat,"economy,jobs,state-budget,taxes,workers",an interview,3,5,5,11,8,2
10150.json,Rick Scott vetoed funding for 30 Florida rape crisis centers. Scott said the centers werent needed.,barely-true,charlie-crist,democrat,"health-care,state-budget,women",a TV ad,2,9,15,20,19,2
12549.json,"The ammunition used in the Orlando shooting is banned by Geneva Convention. It enters the body, spins explodes.",false,michael-moore,none,guns,a tweet after the Orlando shooting,0,5,2,1,6,1
4900.json,The only reason the unemployment rate is going down is because twice as many people dropped out of the employment pool as the number of jobs were created.,barely-true,newt-gingrich,republican,"economy,jobs,workers",a press conference,11,15,16,20,10,2
10822.json,The families that are covered through the Low Income Pool is a different group of individuals than are covered by Obamacare.,barely-true,rick-scott,republican,"health-care,medicaid,state-budget","an interview in Washington, D.C.",7,23,28,38,34,2
9026.json,Every child in Colorado who has been given medical marijuana for treatment for seizures has had diminished seizure activity.,half-true,allen-peake,republican,"children,health-care,marijuana",a meeting,0,0,0,1,0,3
7488.json,Florida is second in the nation in the uninsured.,mostly-true,christopher-l-smith,democrat,"health-care,medicaid",a speech,0,0,0,2,1,4
11797.json,"Says Donald Trump thinks that climate change is a hoax, invented by the Chinese.",mostly-true,bernie-s,independent,"climate-change,science","an interview on NBC's ""Meet the Press""",0,12,18,22,41,4
10160.json,The Austin Tea Party and an ultra-conservative millionaire are behind the campaign against the citys light-rail proposition.,half-true,lloyd-doggett,democrat,"city-budget,city-government,corrections-and-updates,transportation",a Let's Go Austin mailer,0,0,1,2,7,3
2462.json,"Says Republican opponent Jason Isaac is peddling a plan meaning Texans would pay the highest sales taxes in America, up to 14.5 percent.",barely-true,patrick-rose,democrat,"message-machine,taxes",a TV ad.,0,0,1,0,0,2
12050.json,Common Core is education through Washington D.C.,false,donald-trump,republican,education,a GOP debate in Miami,61,114,63,51,37,1
7662.json,Says Texas school systems lose 45 days a year on testing.,barely-true,david-dewhurst,republican,education,in an appearance on Mark Davis’ KSKY-AM radio show,5,8,8,10,5,2
6705.json,"Says Congressman Jon Runyan has a plan to raise Medicare costs $6,400 a year.",barely-true,shelley-adler,democrat,"health-care,medicare,message-machine-2012",a video posted on YouTube,0,2,1,0,0,2
9102.json,Says Sen. Thad Cochran voted to spend hundreds of millions of dollars on ... the Bridge to Nowhere in Alaska instead of shifting the money to repair a bridge damaged by Hurricane Katrina.,half-true,chris-chocola,republican,"federal-budget,infrastructure,transportation,weather",an op-ed supporting Senate candidate Chris McDaniel,0,0,0,1,0,3
2029.json,Sen. McConnell offered a fully paid two-month extension of unemployment insurance.,true,john-cornyn,republican,"economy,federal-budget",a conference call with Texas reporters,1,3,5,6,2,5
9534.json,Nearly 60 percent of women who use birth control do so for more than just family planning.,mostly-true,debbie-wasserman-schultz,democrat,"health-care,supreme-court,women",a statement to the media,3,9,7,8,15,4
6617.json,Says Barack Obama is a Muslim.,pants-fire,hank-williams-jr,none,"candidates-biography,religion",a concert in Fort Worth.,1,0,0,0,0,0
